Time of test,Test Result,Reading
"Aug/05/2020, 10:10:37",HFID Error,Air Pressure Failure
"Aug/05/2020, 10:27:11",HFID Error,Air Pressure Failure
"Aug/05/2020, 10:28:28",HFID Error,Air Pressure Failure
"Aug/05/2020, 10:33:12",Comms Error,Multiple Retries
"Aug/06/2020, 09:37:57",Error,"Pressure Failure, Air = 11.0, Fuel = 12.0"
"Aug/06/2020, 10:03:20",Test Result,Successful completion. PAG #1 Air Reading = 0.19999999999999998
"Aug/06/2020, 10:04:10",Test Result,Successful completion. PAG #1 Air Reading = 0.19999999999999998
"Aug/06/2020, 10:04:21",Test Result,Successful completion. PAG #2 Air Reading = 0.19999999999999998
"Aug/06/2020, 10:04:54",Test Result,Successful completion. PAG #1 Air Reading = 0.19999999999999998
"Aug/06/2020, 10:06:34",Test Result,Successful completion. PAG #1 Air Reading = 0.19999999999999998
"Aug/06/2020, 10:06:45",Test Result,Successful completion. PAG #2 Air Reading = 0.19999999999999998
"Aug/06/2020, 10:12:41",Test Result,Successful completion. PAG #1 Air Reading = 0.19999999999999998
"Aug/06/2020, 10:12:52",Test Result,Successful completion. PAG #2 Air Reading = 0.19999999999999998
